iter	Passed	Remaining
0	2	227
1	4	203
2	7	226
3	11	266
4	14	284
5	18	285
6	25	337
7	33	388
8	44	454
9	49	443
10	52	421
11	55	403
12	56	377
13	57	355
14	59	334
15	60	316
16	61	300
17	62	286
18	64	273
19	65	262
20	67	253
21	68	243
22	70	234
23	71	226
24	72	218
25	74	210
26	75	203
27	76	197
28	78	191
29	79	185
30	81	180
31	82	175
32	83	170
33	85	165
34	86	161
35	88	156
36	89	152
37	90	148
38	92	143
39	93	140
40	95	136
41	95	132
42	97	128
43	98	125
44	99	122
45	101	118
46	102	115
47	103	112
48	105	109
49	106	106
50	108	104
51	110	101
52	111	98
53	112	96
54	113	92
55	114	90
56	116	87
57	117	85
58	118	82
59	120	80
60	121	77
61	123	75
62	125	73
63	126	71
64	128	69
65	130	67
66	131	64
67	132	62
68	134	60
69	136	58
70	138	56
71	140	54
72	141	52
73	143	50
74	145	48
75	147	46
76	148	44
77	149	42
78	151	40
79	153	38
80	154	36
81	155	34
82	157	32
83	158	30
84	160	28
85	162	26
86	163	24
87	165	22
88	166	20
89	168	18
90	169	16
91	170	14
92	171	12
93	172	11
94	174	9
95	175	7
96	176	5
97	177	3
98	179	1
99	180	0
