iter	Passed	Remaining
0	169	169501
1	172	85881
2	174	57841
3	175	43759
4	177	35364
5	179	29751
6	182	25945
7	185	23018
8	187	20640
9	189	18724
10	190	17163
11	192	15857
12	194	14749
13	197	13941
14	199	13127
15	201	12401
16	203	11756
17	205	11186
18	206	10673
19	208	10210
20	211	9873
21	212	9467
22	214	9091
23	215	8744
24	216	8427
25	217	8133
26	218	7863
27	219	7608
28	220	7372
29	221	7151
30	222	6944
31	223	6769
32	225	6620
33	227	6449
34	228	6287
35	229	6134
36	230	5992
37	231	5857
38	232	5726
39	233	5602
40	234	5483
41	235	5370
42	237	5282
43	239	5207
44	241	5124
45	243	5047
46	245	4973
47	246	4886
48	247	4802
49	248	4721
50	252	4690
51	253	4620
52	254	4548
53	255	4477
54	256	4412
55	258	4350
56	259	4289
57	260	4230
58	261	4173
59	262	4118
60	267	4111
61	268	4058
62	269	4006
63	270	3963
64	272	3914
65	273	3865
66	274	3817
67	275	3770
68	276	3726
69	277	3681
70	278	3645
71	281	3625
72	282	3587
73	283	3548
74	284	3511
75	285	3474
76	286	3437
77	287	3401
78	288	3366
79	289	3332
80	290	3298
81	291	3265
82	292	3229
83	295	3220
84	296	3195
85	297	3166
86	298	3136
87	299	3107
88	300	3079
89	301	3052
90	302	3025
91	303	2999
92	304	2973
93	305	2947
94	306	2922
95	309	2918
96	311	2903
97	313	2882
98	314	2863
99	315	2841
100	316	2821
101	318	2804
102	320	2787
103	321	2769
104	325	2777
105	327	2761
106	328	2742
107	329	2724
108	331	2706
109	332	2688
110	333	2670
111	334	2654
112	335	2636
113	337	2620
114	340	2618
115	341	2605
116	343	2589
117	344	2577
118	348	2582
119	352	2583
120	355	2583
121	356	2567
122	359	2562
123	361	2554
124	363	2543
125	368	2552
126	370	2544
127	371	2531
128	373	2520
129	374	2508
130	376	2495
131	385	2535
132	387	2526
133	389	2517
134	391	2510
135	395	2511
136	397	2504
137	399	2497
138	401	2485
139	402	2471
140	403	2458
141	404	2444
142	406	2435
143	408	2426
144	413	2438
145	414	2425
146	415	2412
147	416	2399
148	417	2386
149	418	2373
150	419	2360
151	421	2349
152	422	2337
153	423	2326
154	428	2334
155	429	2325
156	431	2314
157	432	2303
158	433	2293
159	435	2286
160	436	2272
161	437	2264
162	441	2265
163	443	2258
164	444	2247
165	445	2236
166	446	2225
167	447	2214
168	448	2203
169	449	2193
170	450	2183
171	451	2173
172	452	2162
173	454	2155
174	456	2152
175	457	2143
176	458	2133
177	459	2123
178	460	2113
179	461	2103
180	462	2094
181	464	2085
182	465	2076
183	466	2067
184	467	2059
185	472	2065
186	473	2058
187	474	2049
188	475	2040
189	476	2031
190	477	2023
191	478	2014
192	479	2005
193	480	1997
194	481	1988
195	482	1980
196	485	1977
197	487	1974
198	488	1967
199	489	1959
200	490	1951
201	491	1943
202	492	1935
203	493	1927
204	495	1919
205	496	1912
206	497	1904
207	499	1903
208	501	1897
209	502	1890
210	503	1883
211	504	1876
212	506	1870
213	507	1863
214	508	1855
215	509	1848
216	510	1841
217	511	1833
218	512	1826
219	514	1825
220	516	1822
221	518	1817
222	519	1811
223	521	1805
224	522	1800
225	525	1799
226	526	1793
227	529	1792
228	531	1788
229	532	1782
230	533	1776
231	534	1770
232	535	1763
233	536	1757
234	537	1750
235	538	1744
236	539	1737
237	540	1731
238	541	1724
239	544	1724
240	545	1718
241	546	1712
242	548	1707
243	549	1701
244	550	1695
245	551	1689
246	552	1683
247	553	1677
248	554	1671
249	555	1665
250	556	1659
251	559	1660
252	560	1655
253	561	1650
254	562	1644
255	564	1639
256	565	1634
257	566	1628
258	567	1623
259	568	1618
260	569	1613
261	570	1608
262	572	1604
263	575	1603
264	576	1598
265	577	1593
266	578	1587
267	579	1582
268	580	1576
269	581	1571
270	582	1566
271	583	1561
272	584	1556
273	585	1550
274	587	1548
275	589	1545
276	590	1541
277	591	1536
278	592	1531
279	593	1526
280	594	1521
281	595	1516
282	596	1511
283	597	1506
284	598	1501
285	599	1496
286	600	1491
287	603	1492
288	604	1488
289	606	1483
290	607	1478
291	607	1474
292	609	1469
293	610	1464
294	611	1460
295	611	1455
296	612	1450
297	613	1446
298	614	1441
299	618	1442
300	620	1440
301	621	1436
302	622	1432
303	623	1428
304	625	1424
305	626	1420
306	628	1418
307	629	1413
308	632	1413
309	633	1411
310	635	1407
311	636	1402
312	637	1398
313	638	1394
314	639	1390
315	640	1386
316	641	1382
317	642	1378
318	643	1374
319	644	1370
320	647	1370
321	649	1366
322	650	1362
323	651	1358
324	652	1354
325	653	1350
326	654	1346
327	655	1343
328	656	1339
329	657	1334
330	658	1331
331	660	1328
332	662	1327
333	664	1324
334	664	1320
335	665	1316
336	666	1312
337	667	1308
338	668	1304
339	669	1300
340	670	1296
341	671	1292
342	672	1288
343	673	1285
344	676	1285
345	678	1281
346	679	1277
347	680	1274
348	681	1270
349	682	1266
350	683	1263
351	684	1259
352	685	1256
353	686	1252
354	687	1248
355	688	1245
356	691	1244
357	692	1242
358	693	1238
359	694	1235
360	695	1231
361	696	1228
362	697	1224
363	698	1221
364	699	1217
365	700	1214
366	702	1211
367	703	1207
368	705	1207
369	708	1206
370	709	1203
371	711	1200
372	712	1197
373	713	1194
374	715	1191
375	716	1189
376	717	1186
377	720	1186
378	722	1183
379	723	1180
380	724	1177
381	725	1173
382	726	1170
383	727	1166
384	728	1163
385	730	1161
386	731	1158
387	732	1155
388	737	1157
389	738	1154
390	739	1151
391	740	1148
392	741	1145
393	742	1142
394	743	1138
395	744	1135
396	745	1132
397	746	1129
398	747	1125
399	750	1125
400	751	1123
401	753	1120
402	754	1117
403	755	1113
404	756	1110
405	756	1107
406	758	1104
407	760	1103
408	762	1101
409	767	1104
410	768	1101
411	769	1098
412	770	1095
413	771	1092
414	773	1090
415	774	1087
416	776	1085
417	777	1082
418	782	1084
419	783	1081
420	784	1079
421	786	1076
422	788	1076
423	790	1074
424	792	1071
425	796	1073
426	798	1071
427	800	1069
428	801	1067
429	803	1064
430	804	1062
431	810	1066
432	814	1066
433	818	1067
434	819	1064
435	823	1064
436	825	1063
437	827	1061
438	829	1059
439	831	1058
440	832	1055
441	835	1054
442	840	1057
443	843	1056
444	846	1055
445	849	1054
446	853	1056
447	855	1054
448	857	1051
449	858	1049
450	859	1046
451	860	1043
452	862	1041
453	863	1038
454	864	1035
455	869	1037
456	870	1034
457	872	1031
458	873	1029
459	874	1026
460	875	1023
461	876	1020
462	878	1018
463	879	1015
464	884	1017
465	885	1015
466	887	1012
467	888	1009
468	889	1007
469	891	1004
470	892	1002
471	893	999
472	897	999
473	901	1000
474	903	998
475	907	998
476	908	996
477	920	1005
478	922	1003
479	924	1001
480	930	1004
481	932	1002
482	934	1000
483	935	997
484	937	995
485	938	992
486	939	989
487	940	986
488	943	985
489	945	983
490	946	981
491	947	978
492	948	975
493	950	973
494	951	970
495	952	967
496	953	965
497	954	962
498	958	962
499	960	960
500	962	958
501	965	957
502	966	954
503	967	952
504	968	949
505	969	946
506	970	943
507	973	943
508	974	940
509	976	937
510	977	934
511	978	932
512	979	929
513	980	926
514	981	923
515	981	921
516	982	918
517	983	915
518	987	915
519	988	912
520	990	910
521	991	907
522	992	904
523	993	902
524	994	899
525	995	896
526	996	893
527	997	891
528	998	888
529	999	885
530	1001	884
531	1003	882
532	1004	880
533	1006	878
534	1007	875
535	1009	873
536	1010	871
537	1011	868
538	1012	865
539	1013	863
540	1016	862
541	1018	860
542	1019	857
543	1020	855
544	1021	852
545	1022	850
546	1023	847
547	1024	844
548	1025	842
549	1026	839
550	1027	837
551	1028	834
552	1031	833
553	1032	831
554	1033	828
555	1034	826
556	1035	823
557	1036	821
558	1037	818
559	1038	816
560	1039	813
561	1041	811
562	1041	808
563	1043	806
564	1045	805
565	1047	803
566	1048	800
567	1049	798
568	1050	795
569	1051	793
570	1052	790
571	1053	788
572	1054	786
573	1055	783
574	1056	781
575	1057	778
576	1060	777
577	1062	775
578	1064	773
579	1065	771
580	1066	768
581	1067	766
582	1068	764
583	1069	761
584	1070	759
585	1071	757
586	1072	754
587	1075	753
588	1077	751
589	1078	749
590	1079	747
591	1080	744
592	1081	742
593	1082	740
594	1083	737
595	1084	735
596	1085	733
597	1086	730
598	1088	728
599	1091	727
600	1092	725
601	1094	723
602	1095	721
603	1097	719
604	1098	717
605	1099	715
606	1100	712
607	1101	710
608	1103	708
609	1105	706
610	1107	704
611	1108	702
612	1109	700
613	1110	697
614	1111	695
615	1112	693
616	1113	691
617	1114	688
618	1115	686
619	1116	684
620	1117	681
621	1120	680
622	1121	678
623	1122	676
624	1123	674
625	1124	671
626	1125	669
627	1126	667
628	1127	665
629	1128	662
630	1129	660
631	1130	658
632	1131	656
633	1134	654
634	1135	652
635	1136	650
636	1137	648
637	1138	646
638	1139	644
639	1141	641
640	1142	639
641	1143	637
642	1144	635
643	1145	633
644	1149	632
645	1150	630
646	1151	628
647	1153	626
648	1154	624
649	1155	622
650	1157	620
651	1158	618
652	1159	616
653	1161	614
654	1166	614
655	1167	612
656	1168	610
657	1169	607
658	1170	605
659	1171	603
660	1172	601
661	1173	599
662	1174	597
663	1175	594
664	1177	593
665	1180	591
666	1182	590
667	1183	588
668	1184	586
669	1186	584
670	1187	582
671	1188	580
672	1189	577
673	1190	575
674	1193	574
675	1194	572
676	1196	570
677	1197	568
678	1198	566
679	1198	564
680	1199	562
681	1201	560
682	1202	557
683	1203	555
684	1204	553
685	1205	551
686	1207	550
687	1209	548
688	1210	546
689	1212	544
690	1213	542
691	1214	540
692	1215	538
693	1216	536
694	1217	534
695	1218	532
696	1219	530
697	1222	528
698	1224	527
699	1225	525
700	1226	523
701	1227	520
702	1228	518
703	1229	516
704	1230	514
705	1231	512
706	1232	510
707	1233	508
708	1234	506
709	1237	505
710	1239	503
711	1240	501
712	1241	499
713	1242	497
714	1243	495
715	1244	493
716	1245	491
717	1246	489
718	1247	487
719	1248	485
720	1249	483
721	1252	482
722	1253	480
723	1255	478
724	1256	476
725	1257	474
726	1259	472
727	1260	470
728	1261	469
729	1263	467
730	1264	465
731	1267	464
732	1268	462
733	1270	460
734	1271	458
735	1272	456
736	1273	454
737	1274	452
738	1275	450
739	1276	448
740	1278	446
741	1283	446
742	1285	444
743	1286	442
744	1288	440
745	1289	439
746	1290	437
747	1293	435
748	1294	433
749	1297	432
750	1298	430
751	1299	428
752	1300	426
753	1301	424
754	1302	422
755	1303	420
756	1304	418
757	1305	416
758	1306	414
759	1307	412
760	1308	411
761	1311	409
762	1312	407
763	1314	405
764	1315	403
765	1316	402
766	1317	400
767	1318	398
768	1319	396
769	1320	394
770	1321	392
771	1322	390
772	1323	388
773	1325	387
774	1327	385
775	1328	383
776	1329	381
777	1330	379
778	1331	377
779	1332	375
780	1333	374
781	1334	372
782	1335	370
783	1336	368
784	1337	366
785	1340	364
786	1342	363
787	1343	361
788	1344	359
789	1346	357
790	1347	355
791	1348	354
792	1348	352
793	1349	350
794	1350	348
795	1351	346
796	1352	344
797	1356	343
798	1357	341
799	1358	339
800	1359	337
801	1360	335
802	1361	334
803	1362	332
804	1363	330
805	1364	328
806	1365	326
807	1366	324
808	1367	322
809	1370	321
810	1372	319
811	1374	318
812	1376	316
813	1377	314
814	1379	313
815	1382	311
816	1384	310
817	1386	308
818	1387	306
819	1388	304
820	1389	302
821	1390	301
822	1391	299
823	1392	297
824	1393	295
825	1394	293
826	1397	292
827	1398	290
828	1399	288
829	1400	286
830	1401	285
831	1402	283
832	1403	281
833	1404	279
834	1405	277
835	1406	275
836	1407	274
837	1408	272
838	1412	270
839	1413	269
840	1415	267
841	1416	265
842	1417	263
843	1417	262
844	1419	260
845	1420	258
846	1421	256
847	1422	254
848	1423	253
849	1424	251
850	1427	249
851	1429	248
852	1430	246
853	1431	244
854	1432	242
855	1433	241
856	1434	239
857	1435	237
858	1436	235
859	1437	233
860	1438	232
861	1439	230
862	1442	229
863	1443	227
864	1444	225
865	1445	223
866	1446	221
867	1447	220
868	1448	218
869	1449	216
870	1451	214
871	1452	213
872	1453	211
873	1456	210
874	1458	208
875	1459	206
876	1460	204
877	1461	203
878	1462	201
879	1463	199
880	1464	197
881	1465	196
882	1466	194
883	1467	192
884	1468	190
885	1471	189
886	1473	187
887	1475	186
888	1476	184
889	1477	182
